patient_zip3,population,density,age_median,age_60s,age_70s,married,never_married,family_size,income_household_median,income_household_10_to_15,income_household_75_to_100,income_household_100_to_150,income_household_150_over,income_household_six_figure,income_individual_median,home_ownership,housing_units,rent_median,rent_burden,education_less_highschool,education_highschool,education_bachelors,education_college_or_above,labor_force_participation,unemployment_rate,self_employed,farmer,race_white,race_other,race_multiple,hispanic,disabled,poverty,limited_english,veteran,Ozone
101,2746.136364,5363.172727,41.25,10.85,8.75,46.35,35.45,2.845,113609.5,1.35,24.8,14.85,35.5,50.35,88910.5,15.85,1389.045455,2701.5,31.9,5,16.65,38.35,71.1,68.8,2.5,20.86,0.02,85.25,2.5,3.3,15.65,19.35,4.15,1.15,1.2,39.476275
103,37938.0,3697.284615,39.866667,12.383333,6.583333,49.433333,35.0,3.461667,90381.91667,3.583333,10.741667,19.091667,26.466667,45.558333,42708.58333,67.341667,13040.61538,1463.75,34.941667,11.95,29.733333,20.716667,34.325,59.85,5.233333,12.958333,0,67.875,4.725,6.1,20.458333,9.916667,10.925,6.441667,3.283333,38.718935
104,58934.16,16936.584,36.216,9.596,6.036,32.316,47.872,3.3916,50831.96,8.628,9.808,11.568,10.512,22.08,27712.36,23.28,21012.52,1317.64,41.364,24.512,27.484,14.236,22.904,58.956,10.856,16.052,0,24.148,30.264,8.704,53.736,16.1,25.028,15.92,2.52,36.555194
105,10690.73016,910.853968,43.48871,13.883871,7.404839,53.558065,32.967742,3.212833,147128.2069,1.503333,9.385,17.063333,45.946667,63.01,57872.2,75.79,3801.952381,2061.173077,32.793333,7.298387,15.125806,28.78871,58.743548,64.753226,7.064516,17.368852,0,72.172581,8.129032,4.898387,15.898387,9.385484,7.851613,3.283333,3.967742,39.286219
106,14171.66667,2702.433333,40.583333,11.25,7.383333,50.333333,34.783333,3.223333,111822.3333,2.566667,9.833333,17.55,36.716667,54.266667,49342.33333,58.083333,5384.333333,1840.833333,32.86,10.533333,17.95,25.65,52.45,69.75,5.783333,16.3,0,54.2,15.116667,6.066667,29.366667,8.2,7.316667,6.2,2.8,39.302792
107,26757.11111,3938.533333,41.433333,11.866667,7.855556,48.833333,34.966667,3.28,102163,3.833333,10.522222,16.677778,31.644444,48.322222,50291.77778,59.2,10253.33333,1672.666667,33.166667,12.111111,19.4,23.288889,47.033333,64.611111,5.133333,14.655556,0,60.555556,12.744444,7.288889,27.488889,10.955556,9.022222,8.011111,3.7,37.851937
108,22636.25,3267.2,41.675,11.275,7.325,53.775,32.175,3.3525,136920.25,2.175,9.325,13.9,41.8,55.7,58019.75,66.075,8151.25,1804.5,31.875,10.525,17.775,24.95,54.975,65.75,6.925,18.25,0,61.325,10.725,6.575,23.9,8.525,7.575,6.85,3.6,37.914202
109,9882.389831,493.962712,41.026415,13.396429,6.114286,52.1875,33.035714,3.405273,107340.9804,1.501786,15.466071,18.685714,32.266071,50.951786,45991.32692,74.614286,3063.847458,1588.209302,60.233333,9.073214,25.805357,21.744643,38.492857,67.771429,5.335714,10.522807,0.057895,73.667857,5.951786,6.508929,17.971429,10.183929,7.508929,3.433929,5.764286,39.183789
110,18744.07143,2898.557143,47.128571,11.357143,9.85,53.628571,27.55,3.494615,126078.2308,2.923077,10.453846,17.976923,39.976923,57.953846,51248.07143,78.738462,6012.0,1965,30.725,10.078571,20.55,26.035714,50.542857,54.457143,4.192308,18.428571,0,60.921429,7.278571,3.478571,12.814286,10.684615,6.907692,6.892308,3.535714,38.246605
111,30092.42857,21172.0,35.642857,7.942857,4.3,44.314286,43.214286,3.02,97743.85714,3.271429,11.757143,20.342857,27.285714,47.628571,56382.14286,19.9,13156.28571,2159.142857,26.985714,8.842857,17.585714,33.5,57.714286,74.171429,6.8,20.085714,0,56.757143,8.1,8.857143,21.871429,7.1,10.071429,10.771429,1.5,36.932137
112,71374.13158,17326.40789,36.476316,9.789474,6.0,39.923684,44.642105,3.412105,74499.71053,5.863158,10.742105,14.889474,21.318421,36.207895,39491.78947,29.931579,25922.55263,1678.447368,35.213158,16.2,24.334211,24.371053,41.026316,64.197368,7.184211,18.145946,0.002703,44.1,9.184211,6.089474,18.960526,10.194737,18.642105,14.173684,1.755263,37.72274
113,46369.69231,9949.130769,42.3625,12.420833,7.741667,49.925,33.8625,3.39875,77986.375,2.9875,12.745833,17.579167,20.179167,37.758333,37986.75,51.5,16083.57692,1814.291667,34.816667,17.283333,25.675,21.958333,36.404167,61.520833,6.1875,20.679167,0,42.1875,12.6125,6.645833,27.441667,9.5125,10.708333,22.591667,2.4125,37.670503
114,31657.46154,8664.119231,39.729167,11.991667,6.504167,41.041667,43.7125,3.838182,83230.63636,3.259091,13.740909,19.145455,21.8,40.945455,33605.70833,60.936364,9383.115385,1653.954545,33.477273,15.795833,27.891667,19.925,29.716667,62.391667,10.604167,15.295652,0,20.004167,14.8875,7.604167,22.520833,10.95,12.613043,9.122727,2.558333,37.963594
